"gvkey","company_name","final_commitment_year","commitment_date_source","match_method"
"12785","Pilgrim’s Pride Ltd.",2020,"inferred_from_targets_set","ISIN"
"13125","Healthpeak Properties, Inc.",2019,"inferred_from_targets_set","ISIN"
"13510","Duke Realty",2021,"inferred_from_targets_set","ISIN"
"135990","NRG Energy Inc",2015,"historical_committed","ISIN"
"13683","TELEFÓNICA",2017,"historical_committed","ISIN"
"137131","Charles River Laboratories, Inc.",2020,"historical_committed","ISIN"
"138205","Illumina, Inc.",2020,"inferred_from_targets_set","ISIN"
"138743","Equinix, Inc.",2020,"inferred_from_targets_set","ISIN"
"1388","American Airlines",2021,"historical_committed","ISIN"
"139665","Moody's Corporation",2019,"inferred_from_targets_set","ISIN"
"141239","A1 Telekom Austria Group",2019,"inferred_from_targets_set","ISIN"
"142248","America Movil, S.A.B. de C.V.",2020,"inferred_from_targets_set","ISIN"
"142953","Mondelez International Inc",2019,"inferred_from_targets_set","ISIN"
"143357","Accenture",2019,"inferred_from_targets_set","ISIN"
"14370","ManpowerGroup Inc.",2020,"inferred_from_targets_set","ISIN"
"144435","Bunge Limited",2020,"inferred_from_targets_set","ISIN"
"14447","LVMH",2021,"historical_committed","ISIN"
"144559","Zimmer Biomet",2020,"historical_committed","ISIN"
"14489","Dell Technologies",2019,"inferred_from_targets_set","ISIN"
"14563","Mercer International",2021,"historical_committed","ISIN"
"14605","WPP Plc",2020,"inferred_from_targets_set","ISIN"
"14620","Electrolux Group",2017,"historical_committed","ISIN"
"147305","JetBlue Airways Corporation",2022,"historical_committed","LEI"
"147579","Netflix",2020,"inferred_from_targets_set","ISIN"
"147988","AECOM",2019,"historical_committed","ISIN"
"14894","Vodafone Group Plc",2019,"historical_committed","ISIN"
"150278","Carter's, Inc.",2021,"inferred_from_targets_set","ISIN"
"15444","CRH plc",2019,"historical_committed","ISIN"
"154941","Hera",2019,"historical_committed","ISIN"
"15602","Landsec",2016,"inferred_from_targets_set","ISIN"
"15638","Schroders",2021,"historical_committed","ISIN"
"15644","SEGRO plc,",2018,"historical_committed","ISIN"
"157855","Salesforce.com, Inc.",2019,"historical_committed","ISIN"
"15833","Coats Group plc",2021,"historical_committed","ISIN"
"15908","Eurazeo",2020,"historical_committed","ISIN"
"15936","Klépierre",2019,"inferred_from_targets_set","ISIN"
"1602","Amgen Inc.",2021,"inferred_from_targets_set","exact_name"
"160225","Mastercard",2019,"inferred_from_targets_set","ISIN"
"160991","Digital Realty",2019,"inferred_from_targets_set","ISIN"
"16301","Tokyo Tatemono Co., Ltd.",2020,"inferred_from_targets_set","ISIN"
"1632","Analog Devices, Inc.",2020,"historical_committed","ISIN"
"16383","Unibail-Rodamco-Westfield SE",2019,"inferred_from_targets_set","ISIN"
"16398","Citycon Oyj",2020,"historical_committed","ISIN"
"164471","Restaurant Brands International Inc.",2020,"inferred_from_targets_set","ISIN"
"16476","Levi Strauss & Co.",2018,"historical_committed","ISIN"
"165052","Under Armour, Inc.",2020,"historical_committed","ISIN"
"165914","Chipotle Mexican Grill, Inc.",2020,"historical_committed","ISIN"
"16603","Nestlé",2015,"historical_committed","ISIN"
"1690","Apple, Inc.",2020,"inferred_from_targets_set","ISIN"
